PF13356	PF13356.8
PF14657	PF14657.8
PF17293	PF17293.4
PF10208	PF10208.11
PF20145	PF20145.1
PF01937	PF01937.21
PF04826	PF04826.15
PF16186	PF16186.7
PF16629	PF16629.7
PF18770	PF18770.3
PF18677	PF18677.3
PF18583	PF18583.3
PF07302	PF07302.13
PF11723	PF11723.10
PF15684	PF15684.7
PF05856	PF05856.14
PF12120	PF12120.10
PF02752	PF02752.24
PF00339	PF00339.31
PF04959	PF04959.15
PF02374	PF02374.17
PF17886	PF17886.3
PF02040	PF02040.17
PF03960	PF03960.17
PF06953	PF06953.13
PF03773	PF03773.15
PF11449	PF11449.10
PF09824	PF09824.11
PF01129	PF01129.20
PF18760	PF18760.3
PF18084	PF18084.3
PF01606	PF01606.18
PF00951	PF00951.20
PF02497	PF02497.17
PF16749	PF16749.7
PF01481	PF01481.18
PF04161	PF04161.15
PF01731	PF01731.22
PF05935	PF05935.13
PF14269	PF14269.8
PF17425	PF17425.4
PF00858	PF00858.26
PF04266	PF04266.16
PF08688	PF08688.12
PF08687	PF08687.13
PF04729	PF04729.15
PF01671	PF01671.18
PF05568	PF05568.13
PF05293	PF05293.13
PF06556	PF06556.13
PF15780	PF15780.7
PF15323	PF15323.8
PF09010	PF09010.12
PF19039	PF19039.2
PF08328	PF08328.13
PF14698	PF14698.8
PF05170	PF05170.16
PF19272	PF19272.1
PF13109	PF13109.8
PF13502	PF13502.8
PF03590	PF03590.17
PF01037	PF01037.23
PF17805	PF17805.3
PF00733	PF00733.23
PF00026	PF00026.25
PF06826	PF06826.14
PF05279	PF05279.13
PF16993	PF16993.7
PF16929	PF16929.7
PF03780	PF03780.15
PF16996	PF16996.7
PF17000	PF17000.7
PF00710	PF00710.22
PF01112	PF01112.20
PF17763	PF17763.3
PF06089	PF06089.14
PF17641	PF17641.4
PF14521	PF14521.8
PF12897	PF12897.9
PF05118	PF05118.17
PF02261	PF02261.18
PF01177	PF01177.24
PF14669	PF14669.8
PF09668	PF09668.12
PF13650	PF13650.8
PF06392	PF06392.13
PF07100	PF07100.13
PF04958	PF04958.14
PF01400	PF01400.26
PF04996	PF04996.14
PF04952	PF04952.16
PF19743	PF19743.1
PF19441	PF19441.1
PF18577	PF18577.3
PF19415	PF19415.1
PF03115	PF03115.16
PF12226	PF12226.10
PF16580	PF16580.7
PF19414	PF19414.1
PF19416	PF19416.1
PF13919	PF13919.8
PF15321	PF15321.8
PF14196	PF14196.8
PF04377	PF04377.17
PF04376	PF04376.15
PF16788	PF16788.7
PF07855	PF07855.14
PF10377	PF10377.11
PF19697	PF19697.1
PF10033	PF10033.11
PF10186	PF10186.11
PF08614	PF08614.13
PF04108	PF04108.14
PF12744	PF12744.9
PF11700	PF11700.10
PF09451	PF09451.12
PF18388	PF18388.3
PF13329	PF13329.8
PF09795	PF09795.11
PF08589	PF08589.12
PF16420	PF16420.7
PF02991	PF02991.18
PF04109	PF04109.18
PF09333	PF09333.13
PF03078	PF03078.17
PF07737	PF07737.13
PF03477	PF03477.18
PF02222	PF02222.24
PF08442	PF08442.12
PF02655	PF02655.16
PF13535	PF13535.8
PF13549	PF13549.8
PF18419	PF18419.3
PF00217	PF00217.21
PF02807	PF02807.17
PF01747	PF01747.19
PF00231	PF00231.21
PF05176	PF05176.16
PF00895	PF00895.22
PF00119	PF00119.22
PF00006	PF00006.27
PF00306	PF00306.29
PF02874	PF02874.25
PF16886	PF16886.7
PF00430	PF00430.20
PF00137	PF00137.23
PF01813	PF01813.19
PF00401	PF00401.22
